# seed library for xarm7 (Halton joints + FK forward + voxel dedup)
# version: v1.1  base_version: v1 (entries=8000)
# increment: 姿态感知覆盖驱动拒绝采样 +4000 (组合度量 gap>0.05), 2026-09-17 14:01
# generated: 2026-09-17 14:01  urdf=/tmp/verify_xarm7.urdf (verify_robot.sh 产物)
# entries=12000 voxel=0.03m orient_bucket=0.5
# 查询端参数 (dls_ik): 组合度量 dp + 0.35*(1-|q·q'|), 分支封顶<=2, top-6
# format: qw qx qy qz x y z | j1 .. j7 br   (br = L1 最近分支 0-3, 查询端封顶选种用)
0.128151 -0.099391 0.782962 -0.600557 0.195196 -0.093528 0.458403 | -6.172175 -0.559348 -6.282465 0.522525 -4.590419 -1.259347 0.525571 3
0.241323 0.568572 -0.690168 -0.377037 -0.122554 0.219713 0.526043 | 0.111010 0.825119 -3.769191 1.110951 -3.448022 -0.887457 1.264769 3
0.894866 -0.386031 -0.218353 -0.050170 0.278292 0.424260 0.512761 | -3.030583 -1.482326 -1.255916 1.699377 -2.305624 -0.515568 2.003967 3
0.080630 0.063046 -0.382815 0.918138 0.083747 -0.303859 0.924344 | 3.252603 -0.097859 1.257358 2.287802 -1.163227 -0.143678 2.743165 0
0.844591 -0.435068 -0.045617 -0.308709 -0.052120 0.722863 0.517102 | -4.601379 1.286608 3.770632 2.876228 -0.020830 0.228211 3.482364 0
0.330854 0.441661 0.442352 -0.706962 0.164166 -0.667069 0.511867 | 1.681806 -1.020837 -5.779810 3.464654 1.121568 0.600101 4.221562 3
0.553856 -0.747709 -0.301340 0.208253 -0.031730 0.210193 0.171253 | -1.459786 0.363630 -3.266536 0.018160 2.263965 0.971990 4.960760 3
0.337186 -0.316227 -0.817661 0.343128 -0.308965 -0.000979 -0.029748 | 4.823399 1.748096 -0.753262 0.606586 3.406362 1.343879 5.699958 0
0.394352 -0.107996 -0.188506 0.892910 -0.514935 0.115685 0.232497 | -5.386777 -1.789985 1.760012 1.195012 4.548760 1.715769 -6.083732 2
0.082004 0.454573 -0.850968 -0.249986 0.046717 -0.489581 0.491890 | 0.896408 -0.405518 4.273287 1.783437 5.691157 2.087658 -5.344533 2
